filing_date,cik,company_name,form_type,filing_date,accession,ticker
2015-06-15,1000045,NICHOLAS FINANCIAL INC,10-K,2015-06-15,0001193125-15-223218,nick
2015-06-29,1001258,ASTA FUNDING INC,10-K,2015-06-29,0001193125-15-239517,
2015-05-20,1001463,"Acacia Diversified Holdings, Inc.",10-K,2015-05-20,0001185185-15-001386,acca
2015-05-20,1001463,"Acacia Diversified Holdings, Inc.",10-K,2015-05-20,0001185185-15-001394,acca
2015-04-15,1001601,MGT CAPITAL INVESTMENTS INC,10-K,2015-04-15,0001144204-15-022978,mgti
2015-06-12,1002047,"NetApp, Inc.",10-K,2015-06-12,0001564590-15-005051,ntap
2015-05-22,1002135,WESTELL TECHNOLOGIES INC,10-K,2015-05-22,0001002135-15-000015,wstl
2015-04-15,1004989,SPAR GROUP INC,10-K,2015-04-15,0001437749-15-007398,sgrp
2015-05-28,1005229,COLUMBUS MCKINNON CORP,10-K,2015-05-28,0001005229-15-000046,cmco
2015-04-16,100591,ARGAN INC,10-K,2015-04-16,0001193125-15-131832,agx
2015-04-02,1006045,IRIDEX CORP,10-K,2015-04-02,0001564590-15-002365,irix
2015-04-16,1008586,STREAMLINE HEALTH SOLUTIONS INC.,10-K,2015-04-16,0001628280-15-002328,strm
2015-06-15,1009759,CAPSTONE TURBINE Corp,10-K,2015-06-15,0001047469-15-005460,cgrn
2015-04-15,1009925,"American Fiber Green Products, Inc.",10-K,2015-04-15,0001477932-15-002527,
2015-04-22,1011290,99 CENTS ONLY STORES LLC,10-K,2015-04-22,0001104659-15-029330,
2015-04-13,1014763,AMARILLO BIOSCIENCES INC,10-K,2015-04-13,0001014763-15-000006,amar
2015-06-29,1016178,CARVER BANCORP INC,10-K,2015-06-29,0001016178-15-000008,carv
2015-04-14,1017110,GENETHERA INC,10-K,2015-04-14,0001017110-15-000010,gthr
2015-04-14,1017616,"ONE WORLD HOLDINGS, INC.",10-K,2015-04-14,0001445866-15-000437,
2015-05-26,101830,SPRINT Corp,10-K,2015-05-26,0000101830-15-000012,
2015-04-07,1019671,SEACHANGE INTERNATIONAL INC,10-K,2015-04-07,0001193125-15-121530,seac
2015-05-22,102037,UNIVERSAL CORP /VA/,10-K,2015-05-22,0000102037-15-000017,uvv
2015-04-10,1020475,"GRANDPARENTS.COM, INC.",10-K,2015-04-10,0001144204-15-022104,
2015-05-18,1021096,ROOMLINX INC,10-K,2015-05-18,0001117768-15-000394,trkaw
2015-05-21,1021162,TRIUMPH GROUP INC,10-K,2015-05-21,0001021162-15-000017,tgi
2015-06-24,102198,CALMARE THERAPEUTICS Inc,10-K,2015-06-24,0001615774-15-001589,
2015-05-29,1022408,EPLUS INC,10-K,2015-05-29,0001022408-15-000017,plus
2015-05-29,1023731,8X8 INC /DE/,10-K,2015-05-29,0001136261-15-000166,eght
2015-04-21,1024626,"CANNABIS SCIENCE, INC.",10-K,2015-04-21,0001517126-15-000097,
2015-04-15,1024628,ZAP,10-K,2015-04-15,0001214659-15-003085,
2015-05-22,1024920,Fuelstream INC,10-K,2015-05-22,0001391609-15-000135,
2015-06-26,1027235,Asia Travel Corp,10-K,2015-06-26,0001549727-15-000065,
2015-04-15,1028153,"Axion Power International, Inc.",10-K,2015-04-15,0001144204-15-023066,axpwq
2015-04-14,1029802,China Fruits Corp,10-K,2015-04-14,0001264931-15-000148,
2015-04-15,1030916,PREMIER HOLDING CORP.,10-K,2015-04-15,0001019687-15-001478,prhl
2015-04-09,1031223,PHL VARIABLE INSURANCE CO /CT/,10-K,2015-04-09,0001031223-15-000004,
2015-04-15,1031927,"Echo Therapeutics, Inc.",10-K,2015-04-15,0001415889-15-001364,
