filing_date,cik,company_name,form_type,filing_date,accession,ticker
2016-02-12,1000180,SANDISK CORP,10-K,2016-02-12,0001000180-16-000068,
2016-03-07,1000209,MEDALLION FINANCIAL CORP,10-K,2016-03-07,0001193125-16-495428,mbnkp
2016-02-10,1000228,HENRY SCHEIN INC,10-K,2016-02-10,0001000228-16-000042,hsic
2016-02-12,1000229,CORE LABORATORIES N V,10-K,2016-02-12,0001000229-16-000149,clb
2016-01-28,1000230,OPTICAL CABLE CORP,10-K,2016-01-28,0001437749-16-024214,occ
2016-03-30,1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2016-03-30,0001104659-16-108555,ktyb
2016-03-11,1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2016-03-11,0001047469-16-011036,imphp
2016-02-26,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2016-02-26,0001000623-16-000141,swm
2016-03-30,1000683,BLONDER TONGUE LABORATORIES INC,10-K,2016-03-30,0001144204-16-091323,bdr
2016-02-29,1000694,NOVAVAX INC,10-K,2016-02-29,0001144204-16-084770,nvax
2016-02-26,1000697,WATERS CORP /DE/,10-K,2016-02-26,0001193125-16-480594,wat
2016-02-12,1000753,"INSPERITY, INC.",10-K,2016-02-12,0001000753-16-000075,nsp
2016-02-18,1001082,DISH Network CORP,10-K,2016-02-18,0001558370-16-003267,dish
2016-03-28,1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2016-03-28,0001047469-16-011660,byfc
2016-02-18,100122,TUCSON ELECTRIC POWER CO,10-K,2016-02-18,0000100122-16-000034,
2016-02-18,1001233,SANGAMO BIOSCIENCES INC,10-K,2016-02-18,0001564590-16-012882,sgmo
2016-02-29,1001288,LEXMARK INTERNATIONAL INC /KY/,10-K,2016-02-29,0001001288-16-000062,
2016-03-15,1001316,"TG THERAPEUTICS, INC.",10-K,2016-03-15,0001144204-16-088155,tgtx
2016-03-04,1001385,NORTHWEST PIPE CO,10-K,2016-03-04,0001437749-16-026859,nwpx
