filing_date,cik,company_name,form_type,filing_date,accession,ticker
2018-03-14,1000209,MEDALLION FINANCIAL CORP,10-K,2018-03-14,0001193125-18-082402,mbnkp
2018-02-21,1000228,HENRY SCHEIN INC,10-K,2018-02-21,0001000228-18-000012,hsic
2018-02-12,1000229,CORE LABORATORIES N V,10-K,2018-02-12,0001000229-18-000025,clb
2018-03-16,1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2018-03-16,0001558370-18-002201,ktyb
2018-03-16,1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2018-03-16,0001558370-18-002168,imphp
2018-03-01,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2018-03-01,0001000623-18-000044,swm
2018-03-14,1000694,NOVAVAX INC,10-K,2018-03-14,0001144204-18-014686,nvax
2018-02-27,1000697,WATERS CORP /DE/,10-K,2018-02-27,0001193125-18-060830,wat
2018-02-12,1000753,"INSPERITY, INC.",10-K,2018-02-12,0001000753-18-000015,nsp
2018-02-21,1001082,DISH Network CORP,10-K,2018-02-21,0001558370-18-000826,dish
2018-03-26,1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2018-03-26,0001047469-18-002146,byfc
2018-02-15,100122,TUCSON ELECTRIC POWER CO,10-K,2018-02-15,0000100122-18-000005,
2018-03-01,1001233,"SANGAMO THERAPEUTICS, INC",10-K,2018-03-01,0001564590-18-004163,sgmo
2018-03-15,1001316,"TG THERAPEUTICS, INC.",10-K,2018-03-15,0001654954-18-002638,tgtx
2018-03-16,1001385,NORTHWEST PIPE CO,10-K,2018-03-16,0001437749-18-004857,nwpx
2018-03-28,1001614,TENGASCO INC,10-K,2018-03-28,0001140361-18-015512,repx
2018-03-01,1001838,SOUTHERN COPPER CORP/,10-K,2018-03-01,0001047469-18-001211,scco
2018-02-14,1001902,INTEVAC INC,10-K,2018-02-14,0001193125-18-045618,ivac
2018-02-28,1002910,AMEREN CORP,10-K,2018-02-28,0001002910-18-000069,aee
2018-03-16,1003201,"MMA CAPITAL MANAGEMENT, LLC",10-K,2018-03-16,0001144204-18-015067,mmac
2018-02-16,1003410,DUKE REALTY LIMITED PARTNERSHIP/,10-K,2018-02-16,0000783280-18-000012,
2018-03-26,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,10-K,2018-03-26,0001193125-18-096155,
2018-03-01,1003642,IMPAX LABORATORIES INC,10-K,2018-03-01,0001003642-18-000038,
2018-03-16,1003815,BCTC IV ASSIGNOR CORP,10-K,2018-03-16,0001003815-18-000004,
2018-02-22,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,10-K,2018-02-22,0000899715-18-000070,
2018-02-21,1004155,SOUTHERN Co GAS,10-K,2018-02-21,0000092122-18-000012,
2018-02-23,1004434,"AFFILIATED MANAGERS GROUP, INC.",10-K,2018-02-23,0001004434-18-000004,aatrl
2018-02-28,1004702,OCEANFIRST FINANCIAL CORP,10-K,2018-02-28,0001004702-18-000078,ocfcp
2018-02-09,1004980,PG&E Corp,10-K,2018-02-09,0001004980-18-000003,pcgu
2018-02-22,100517,"United Continental Holdings, Inc.",10-K,2018-02-22,0001193125-18-054235,ual
2018-03-01,1005201,DEPOMED INC,10-K,2018-03-01,0001558370-18-001325,
2018-02-22,1005284,UNIVERSAL DISPLAY CORP \PA\,10-K,2018-02-22,0001564590-18-002868,oled
2018-03-14,1005409,DIME COMMUNITY BANCSHARES INC,10-K,2018-03-14,0001140361-18-013430,
2018-03-16,1005699,MAGICJACK VOCALTEC LTD,10-K,2018-03-16,0001178913-18-000881,
2018-02-23,1005757,CSG SYSTEMS INTERNATIONAL INC,10-K,2018-02-23,0001564590-18-003012,csgs
2018-03-01,1005817,TOMPKINS FINANCIAL CORP,10-K,2018-03-01,0001005817-18-000002,tmp
2018-03-14,1006045,IRIDEX CORP,10-K,2018-03-14,0001564590-18-005593,irix
2018-03-15,1006269,LORAL SPACE & COMMUNICATIONS INC.,10-K,2018-03-15,0001144204-18-014926,lorl
2018-03-06,1006281,"Protalix BioTherapeutics, Inc.",10-K,2018-03-06,0001144204-18-013053,plx
2018-03-16,1006424,"BEAR STATE FINANCIAL, INC.",10-K,2018-03-16,0001437749-18-004799,
2018-03-14,1006837,"HC2 HOLDINGS, INC.",10-K,2018-03-14,0001006837-18-000023,hchc
2018-01-29,1007019,COFFEE HOLDING CO INC,10-K,2018-01-29,0001493152-18-001192,jva
2018-03-05,1007273,BANK OF SOUTH CAROLINA CORP,10-K,2018-03-05,0001387131-18-000907,bksc
2018-03-13,1007330,"PRGX GLOBAL, INC.",10-K,2018-03-13,0001007330-18-000002,
2018-03-02,1007587,KVH INDUSTRIES INC \DE\,10-K,2018-03-02,0001007587-18-000006,kvhi
2018-02-15,100790,UNION CARBIDE CORP /NEW/,10-K,2018-02-15,0000029915-18-000005,
2018-02-28,100826,UNION ELECTRIC CO,10-K,2018-02-28,0001002910-18-000069,uepco
2018-02-27,1008654,TUPPERWARE BRANDS CORP,10-K,2018-02-27,0001008654-18-000006,tup
2018-03-01,1008848,ACORDA THERAPEUTICS INC,10-K,2018-03-01,0001564590-18-003967,acor
2018-02-09,100885,UNION PACIFIC CORP,10-K,2018-02-09,0000100885-18-000048,unp
2018-03-08,1009672,CARBO CERAMICS INC,10-K,2018-03-08,0001564590-18-004771,
2018-03-16,1009829,JAKKS PACIFIC INC,10-K,2018-03-16,0001157523-18-000578,jakk
2018-03-06,1010086,SIGA TECHNOLOGIES INC,10-K,2018-03-06,0001010086-18-000003,siga
2018-03-01,1010612,SYKES ENTERPRISES INC,10-K,2018-03-01,0001193125-18-067150,syke
2018-03-13,1010858,FAIRMOUNT SANTROL HOLDINGS INC.,10-K,2018-03-13,0001564590-18-005434,
2018-03-28,1011432,"CYNERGISTEK, INC",10-K,2018-03-28,0001445866-18-000299,ctek
2018-01-31,1011452,"Medical Information Technology, Inc.",10-K,2018-01-31,0001011452-18-000003,
2018-03-02,1011509,Golden Minerals Co,10-K,2018-03-02,0001558370-18-001416,aumn
2018-02-27,1011570,KNOLL INC,10-K,2018-02-27,0001011570-18-000012,knl
2018-03-02,1011659,MUFG Americas Holdings Corp,10-K,2018-03-02,0001628280-18-002667,
2018-02-28,101199,UNITED FIRE GROUP INC,10-K,2018-02-28,0000101199-18-000040,ufcs
2018-03-01,1012019,RUSH ENTERPRISES INC \TX\,10-K,2018-03-01,0001437749-18-003630,rushb
2018-02-21,1012100,SEALED AIR CORP/DE,10-K,2018-02-21,0001628280-18-001957,see
2018-03-16,1012477,AVADEL PHARMACEUTICALS PLC,10-K,2018-03-16,0001012477-18-000008,avdl
2018-02-28,1012620,GENESEE & WYOMING INC,10-K,2018-02-28,0001012620-18-000008,gwr
2018-03-01,1012771,FBL FINANCIAL GROUP INC,10-K,2018-03-01,0001012771-18-000006,ffg
2018-03-22,101295,UNITED GUARDIAN INC,10-K,2018-03-22,0001171843-18-002183,ug
2018-03-23,1013238,ARADIGM CORP,10-K,2018-03-23,0001193125-18-094094,
2018-03-15,1013272,NORWOOD FINANCIAL CORP,10-K,2018-03-15,0000946275-18-000013,nwfl
