filing_date,cik,company_name,form_type,filing_date,accession,ticker
2021-03-16,1000209,MEDALLION FINANCIAL CORP,10-K,2021-03-16,0001564590-21-013216,mbnkp
2021-02-17,1000228,HENRY SCHEIN INC,10-K,2021-02-17,0001000228-21-000019,hsic
2021-02-08,1000229,CORE LABORATORIES N V,10-K,2021-02-08,0001564590-21-004561,clb
2021-03-03,1000232,KENTUCKY BANCSHARES INC /KY/,10-K,2021-03-03,0001558370-21-002326,ktyb
2021-03-12,1000298,IMPAC MORTGAGE HOLDINGS INC,10-K,2021-03-12,0001558370-21-002945,imphp
2021-03-01,1000623,SCHWEITZER MAUDUIT INTERNATIONAL INC,10-K,2021-03-01,0001000623-21-000047,swm
2021-03-25,1000683,BLONDER TONGUE LABORATORIES INC,10-K,2021-03-25,0001213900-21-017745,bdr
2021-03-01,1000694,NOVAVAX INC,10-K,2021-03-01,0001000694-21-000004,nvax
2021-02-24,1000697,WATERS CORP /DE/,10-K,2021-02-24,0001193125-21-054385,wat
2021-02-12,1000753,"INSPERITY, INC.",10-K,2021-02-12,0001000753-21-000009,nsp
2021-02-22,1001082,DISH Network CORP,10-K,2021-02-22,0001558370-21-001322,dish
2021-03-31,1001171,BROADWAY FINANCIAL CORP \DE\,10-K,2021-03-31,0001140361-21-011100,byfc
2021-02-12,100122,TUCSON ELECTRIC POWER CO,10-K,2021-02-12,0000100122-21-000005,
2021-02-24,1001233,"SANGAMO THERAPEUTICS, INC",10-K,2021-02-24,0001628280-21-003069,sgmo
2021-03-01,1001316,"TG THERAPEUTICS, INC.",10-K,2021-03-01,0001558370-21-002149,tgtx
2021-03-04,1001385,NORTHWEST PIPE CO,10-K,2021-03-04,0001437749-21-004994,nwpx
2021-03-30,1001614,"Riley Exploration Permian, Inc.",10-K,2021-03-30,0001140361-21-010616,repx
2021-02-26,1001838,SOUTHERN COPPER CORP/,10-K,2021-02-26,0001558370-21-001894,scco
2021-02-17,1001902,INTEVAC INC,10-K,2021-02-17,0001193125-21-046477,ivac
2021-02-22,1002910,AMEREN CORP,10-K,2021-02-22,0001002910-21-000065,aee
2021-03-31,1003201,"MMA Capital Holdings, Inc.",10-K,2021-03-31,0001558370-21-003847,mmac
2021-02-19,1003410,DUKE REALTY Ltd PARTNERSHIP/,10-K,2021-02-19,0000783280-21-000012,
2021-03-25,1003509,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,10-K,2021-03-25,0001193125-21-094610,
2021-03-25,1003815,BCTC IV ASSIGNOR CORP,10-K,2021-03-25,0001104659-21-041525,
2021-02-23,1004036,TANGER PROPERTIES LTD PARTNERSHIP /NC/,10-K,2021-02-23,0000899715-21-000065,
2021-02-18,1004155,SOUTHERN Co GAS,10-K,2021-02-18,0000092122-21-000006,
2021-02-19,1004434,"AFFILIATED MANAGERS GROUP, INC.",10-K,2021-02-19,0001004434-21-000014,aatrl
2021-03-01,1004702,OCEANFIRST FINANCIAL CORP,10-K,2021-03-01,0001004702-21-000026,ocfcp
2021-03-29,1004724,"REGIONAL HEALTH PROPERTIES, INC",10-K,2021-03-29,0001564590-21-016146,rhe-pa
2021-02-25,1004980,PG&E Corp,10-K,2021-02-25,0001004980-21-000007,pcgu
2021-03-31,1004989,"SPAR Group, Inc.",10-K,2021-03-31,0001437749-21-007784,sgrp
2021-02-16,1005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",10-K,2021-02-16,0001005011-21-000004,
2021-03-01,100517,"United Airlines Holdings, Inc.",10-K,2021-03-01,0000100517-21-000016,ual
2021-02-18,1005284,UNIVERSAL DISPLAY CORP \PA\,10-K,2021-02-18,0001564590-21-006654,oled
2021-02-19,1005757,CSG SYSTEMS INTERNATIONAL INC,10-K,2021-02-19,0001564590-21-006874,csgs
2021-03-01,1005817,TOMPKINS FINANCIAL CORP,10-K,2021-03-01,0001005817-21-000004,tmp
2021-03-23,1006045,IRIDEX CORP,10-K,2021-03-23,0001564590-21-014859,irix
2021-03-09,1006269,LORAL SPACE & COMMUNICATIONS INC.,10-K,2021-03-09,0001558370-21-002586,lorl
2021-03-30,1006281,"Protalix BioTherapeutics, Inc.",10-K,2021-03-30,0001558370-21-003681,plx
2021-03-10,1006837,"HC2 HOLDINGS, INC.",10-K,2021-03-10,0001006837-21-000027,hchc
2021-02-16,1007019,COFFEE HOLDING CO INC,10-K,2021-02-16,0001493152-21-003836,jva
2021-03-31,100716,UNICO AMERICAN CORP,10-K,2021-03-31,0000100716-21-000020,unam
2021-03-05,1007273,BANK OF SOUTH CAROLINA CORP,10-K,2021-03-05,0001387131-21-003179,bksc
2021-03-03,1007587,KVH INDUSTRIES INC \DE\,10-K,2021-03-03,0001007587-21-000004,kvhi
2021-02-05,100790,UNION CARBIDE CORP /NEW/,10-K,2021-02-05,0000029915-21-000003,
2021-02-22,100826,UNION ELECTRIC CO,10-K,2021-02-22,0001002910-21-000065,uepco
2021-03-10,1008654,TUPPERWARE BRANDS CORP,10-K,2021-03-10,0001008654-21-000022,tup
2021-03-16,1008848,ACORDA THERAPEUTICS INC,10-K,2021-03-16,0001564590-21-013318,acor
2021-02-05,100885,UNION PACIFIC CORP,10-K,2021-02-05,0000100885-21-000068,unp
2021-03-19,1009829,JAKKS PACIFIC INC,10-K,2021-03-19,0001185185-21-000348,jakk
2021-03-29,1009891,AIR INDUSTRIES GROUP,10-K,2021-03-29,0001213900-21-018136,airi
2021-03-04,1010086,SIGA TECHNOLOGIES INC,10-K,2021-03-04,0001437749-21-005031,siga
